EID         ENAME                                              GENDER DEPTNO      MID         SALARY
----------- -------------------------------------------------- ------ ----------- ----------- ---------------------------------------
1           LINDA                                              F      10          NULL        75000.00
3           ANJELA                                             F      10          2           32000.00
5           AHMED                                              M      20          4           30000.00
7           JOHN                                               M      30          1           60000.00
9           JUNE                                               F      30          7           40000.00
11          ALEX                                               M      10          NULL        55000.00

(6 rows affected)


Completion time: 2025-01-22T13:37:30.8910844-06:00
