FirstName                                          LastName                                           JobTitle
-------------------------------------------------- -------------------------------------------------- --------------------------------------------------
A. Scott                                           Wright                                             Master Scheduler
Alan                                               Brewer                                             Scheduling Assistant
Alejandro                                          McGuel                                             Production Technician - WC40
Alex                                               Nayberg                                            Production Technician - WC45
Alice                                              Ciccu                                              Production Technician - WC50
Andrew                                             Cencini                                            Production Technician - WC45
Andrew                                             Hill                                               Production Supervisor - WC10
Andy                                               Ruth                                               Production Technician - WC30
Angela                                             Barbariol                                          Production Technician - WC50
Anibal                                             Sousa                                              Production Technician - WC20
Annik                                              Stahl                                              Production Technician - WC60
Arvind                                             Rao                                                Buyer
Ashvini                                            Sharma                                             Network Administrator
Barbara                                            Decker                                             Production Technician - WC20
Baris                                              Cetinok                                            Production Technician - WC40
Barry                                              Johnson                                            Production Technician - WC10
Belinda                                            Newman                                             Production Technician - WC45
Ben                                                Miller                                             Buyer
Benjamin                                           Martin                                             Production Technician - WC30
Betsy                                              Stadick                                            Production Technician - WC10
Bjorn                                              Rettig                                             Production Technician - WC30
Bob                                                Hohman                                             Production Technician - WC50
Bonnie                                             Kearney                                            Production Technician - WC10
Brandon                                            Heidepriem                                         Production Technician - WC60
Brenda                                             Diaz                                               Production Supervisor - WC40
Brian                                              Goldstein                                          Production Technician - WC40
Brian                                              LaMee                                              Scheduling Assistant
Brian                                              Lloyd                                              Production Technician - WC40
Brian                                              Welcker                                            Vice President of Sales
Britta                                             Simon                                              Production Technician - WC60
Bryan                                              Baker                                              Production Technician - WC60
Carol                                              Philips                                            Production Technician - WC30
Carole                                             Poland                                             Production Technician - WC30
Chad                                               Niswonger                                          Production Technician - WC50
Charles                                            Fitzgerald                                         Production Technician - WC60
Chris                                              Norred                                             Control Specialist
Chris                                              Okelberry                                          Production Technician - WC60
Chris                                              Preston                                            Production Technician - WC45
Christian                                          Kleinerman                                         Maintenance Supervisor
Christopher                                        Hill                                               Production Technician - WC10
Cristian                                           Petculescu                                         Production Supervisor - WC10
Cynthia                                            Randall                                            Production Supervisor - WC30
Danielle                                           Tiedt                                              Production Technician - WC10
David                                              Campbell                                           Sales Representative
David                                              Hamilton                                           Production Supervisor - WC40
David                                              Johnson                                            Production Technician - WC30
David                                              Lawrence                                           Production Technician - WC30
David                                              Ortiz                                              Production Technician - WC60
David                                              Yalovsky                                           Production Technician - WC30
Denise                                             Smith                                              Production Technician - WC50
Diane                                              Glimp                                              Production Technician - WC10
Diane                                              Margheim                                           Research and Development Engineer
Diane                                              Tibbott                                            Production Technician - WC50
Don                                                Hall                                               Production Technician - WC50
Doris                                              Hartwig                                            Production Technician - WC10
Douglas                                            Hite                                               Production Technician - WC45
Ebru                                               Ersan                                              Production Technician - WC10
Ed                                                 Dudenhoefer                                        Production Technician - WC60
Elizabeth                                          Keyser                                             Production Technician - WC50
Eric                                               Brown                                              Production Technician - WC40
Eric                                               Gubbels                                            Production Supervisor - WC20
Eric                                               Kurjan                                             Buyer
Erin                                               Hagens                                             Buyer
Eugene                                             Kogan                                              Production Technician - WC60
Eugene                                             Zabokritski                                        Production Technician - WC30
Fadi                                               Fakhouri                                           Production Technician - WC20
Frank                                              Lee                                                Production Technician - WC40
Frank                                              Martinez                                           Production Technician - WC40
Frank                                              Miller                                             Production Technician - WC50
Frank                                              Pellow                                             Buyer
Fred                                               Northup                                            Production Technician - WC40
Fukiko                                             Ogisu                                              Buyer
Gabe                                               Mares                                              Production Technician - WC40
Gail                                               Erickson                                           Design Engineer
Garrett                                            Vargas                                             Sales Representative
Garrett                                            Young                                              Production Technician - WC30
Gary                                               Yukish                                             Production Technician - WC40
George                                             Li                                                 Production Technician - WC30
Gigi                                               Matthew                                            Research and Development Engineer
Gordon                                             Hee                                                Buyer
Greg                                               Alderson                                           Production Technician - WC45
Guy                                                Gilbert                                            Production Technician - WC60
Hanying                                            Feng                                               Production Technician - WC20
Houman                                             Pournasseh                                         Production Technician - WC50
Hung-Fu                                            Ting                                               Production Technician - WC20
Ivo                                                Salmre                                             Production Technician - WC20
Jack                                               Creasey                                            Production Technician - WC40
Jack                                               Richins                                            Production Supervisor - WC30
Jae                                                Pak                                                Sales Representative
James                                              Hamilton                                           Vice President of Production
James                                              Kramer                                             Production Technician - WC60
Jan                                                Miksovsky                                          Production Technician - WC30
Janeth                                             Esteves                                            Production Technician - WC45
Janice                                             Galvin                                             Tool Designer
Jason                                              Watters                                            Production Technician - WC30
Jay                                                Adams                                              Production Technician - WC60
Jeff                                               Hay                                                Production Supervisor - WC45
Jeffrey                                            Ford                                               Production Technician - WC10
Jian Shuo                                          Wang                                               Production Technician - WC30
Jill                                               Williams                                           Marketing Specialist
Jillian                                            Carson                                             Sales Representative
Jim                                                Scardelis                                          Production Technician - WC50
Jimmy                                              Bischoff                                           Stocker
Jinghao                                            Liu                                                Production Supervisor - WC50
Jo                                                 Brown                                              Production Supervisor - WC60
John                                               Campbell                                           Production Supervisor - WC60
John                                               Chen                                               Production Technician - WC20
John                                               Evans                                              Production Technician - WC50
John                                               Frum                                               Production Technician - WC30
John                                               Kane                                               Production Technician - WC10
John                                               Wood                                               Marketing Specialist
JoLynn                                             Dobney                                             Production Supervisor - WC60
Jose                                               Lugo                                               Production Technician - WC60
José                                               Saraiva                                            Sales Representative
Jossef                                             Goldberg                                           Design Engineer
Jun                                                Cao                                                Production Technician - WC50
Karan                                              Khanna                                             Production Technician - WC60
Karen                                              Berge                                              Document Control Assistant
Kathie                                             Flood                                              Production Technician - WC45
Katie                                              McAskill-White                                     Production Supervisor - WC20
Ken                                                Myer                                               Production Technician - WC40
Ken                                                Sánchez                                            Chief Executive Officer
Kendall                                            Keil                                               Production Technician - WC50
Kevin                                              Homer                                              Production Technician - WC10
Kevin                                              Liu                                                Production Technician - WC40
Kim                                                Abercrombie                                        Production Technician - WC60
Kim                                                Ralls                                              Stocker
Kimberly                                           Zimmerman                                          Production Technician - WC10
Kirk                                               Koenigsbauer                                       Production Technician - WC45
Kitti                                              Lertpiriyasuwat                                    Production Technician - WC50
Kok-Ho                                             Loh                                                Production Supervisor - WC50
Krishna                                            Sunkammurali                                       Production Technician - WC20
Lane                                               Sacksteder                                         Production Technician - WC20
Laura                                              Norman                                             Chief Financial Officer
Laura                                              Steele                                             Production Technician - WC45
Linda                                              Meisner                                            Buyer
Linda                                              Mitchell                                           Sales Representative
Linda                                              Moschell                                           Production Technician - WC50
Linda                                              Randall                                            Production Technician - WC20
Lionel                                             Penuchot                                           Production Technician - WC45
Lolan                                              Song                                               Production Technician - WC50
Lori                                               Kane                                               Production Supervisor - WC45
Lorraine                                           Nay                                                Production Technician - WC40
Lynn                                               Tsoflias                                           Sales Representative
Maciej                                             Dusza                                              Production Technician - WC60
Mandar                                             Samant                                             Production Technician - WC50
Marc                                               Ingle                                              Production Technician - WC30
Margie                                             Shoop                                              Production Technician - WC60
Mark                                               McArthur                                           Production Technician - WC60
Mary                                               Baker                                              Production Technician - WC10
Mary                                               Gibson                                             Marketing Specialist
Matthias                                           Berndt                                             Shipping and Receiving Clerk
Merav                                              Netz                                               Production Technician - WC30
Michael                                            Blythe                                             Sales Representative
Michael                                            Entin                                              Production Technician - WC50
Michael                                            Hines                                              Production Technician - WC20
Michael                                            Patten                                             Production Technician - WC50
Michael                                            Ray                                                Production Supervisor - WC30
Michael                                            Rothkugel                                          Production Technician - WC40
Michael                                            Sullivan                                           Senior Design Engineer
Michael                                            Vanderhyde                                         Production Technician - WC30
Michael                                            Zwilling                                           Production Technician - WC60
Michiko                                            Osada                                              Production Technician - WC30
Mihail                                             Frintu                                             Production Technician - WC40
Mikael                                             Sandberg                                           Buyer
Min                                                Su                                                 Production Technician - WC20
Mindaugas                                          Krapauskas                                         Production Technician - WC50
Mindy                                              Martin                                             Benefits Specialist
Nancy                                              Anderson                                           Production Technician - WC60
Nicole                                             Holliday                                           Production Technician - WC40
Nitin                                              Mirchandani                                        Production Technician - WC20
Nuan                                               Yu                                                 Production Technician - WC50
Olinda                                             Turner                                             Production Technician - WC20
Ovidiu                                             Cracium                                            Senior Tool Designer
Pamela                                             Ansman-Wolfe                                       Sales Representative
Patrick                                            Cook                                               Production Technician - WC40
Patrick                                            Wedge                                              Production Technician - WC10
Paul                                               Komosinski                                         Production Technician - WC40
Paul                                               Singh                                              Production Technician - WC20
Paula                                              Nartker                                            Production Technician - WC40
Pete                                               Male                                               Production Technician - WC50
Peter                                              Connelly                                           Network Administrator
Peter                                              Krebs                                              Production Control Manager
Pilar                                              Ackerman                                           Shipping and Receiving Supervisor
Prasanna                                           Samarawickrama                                     Production Technician - WC20
Rachel                                             Valdez                                             Sales Representative
Rajesh                                             Patel                                              Production Technician - WC40
Randy                                              Reeves                                             Production Technician - WC60
Ranjit                                             Varkey Chudukatil                                  Sales Representative
Raymond                                            Sam                                                Production Technician - WC20
Rebecca                                            Laszlo                                             Production Technician - WC60
Reed                                               Koch                                               Production Technician - WC30
Reuben                                             D'sa                                               Production Supervisor - WC40
Rob                                                Caron                                              Production Technician - WC40
Rob                                                Walters                                            Senior Tool Designer
Robert                                             Rounthwaite                                        Production Technician - WC45
Roberto                                            Tamburello                                         Engineering Manager
Rostislav                                          Shabalin                                           Production Technician - WC30
Russell                                            Hunter                                             Production Technician - WC50
Russell                                            King                                               Production Technician - WC30
Ruth                                               Ellerbrock                                         Production Technician - WC10
Ryan                                               Cornelsen                                          Production Technician - WC40
Sairaj                                             Uddin                                              Scheduling Assistant
Samantha                                           Smith                                              Production Technician - WC20
Sameer                                             Tejani                                             Production Technician - WC50
Sandeep                                            Kaliyath                                           Production Technician - WC40
Sandra                                             Reátegui Alayo                                     Production Technician - WC30
Sariya                                             Harnpadoungsataya                                  Marketing Specialist
Scott                                              Gode                                               Production Technician - WC45
Sean                                               Chai                                               Document Control Assistant
Shammi                                             Mohamed                                            Production Technician - WC40
Shane                                              Kim                                                Production Supervisor - WC45
Sharon                                             Salavaria                                          Design Engineer
Shelley                                            Dyck                                               Production Technician - WC20
Shu                                                Ito                                                Sales Representative
Sidney                                             Higa                                               Production Technician - WC10
Simon                                              Rapier                                             Production Technician - WC60
Stefen                                             Hesse                                              Production Technician - WC20
Stephanie                                          Conroy                                             Network Manager
Steve                                              Masters                                            Production Technician - WC60
Steven                                             Selikoff                                           Production Technician - WC30
Stuart                                             Munson                                             Production Technician - WC45
Suchitra                                           Mohan                                              Production Technician - WC60
Suroor                                             Fatima                                             Production Technician - WC50
Susan                                              Eaton                                              Stocker
Susan                                              Metters                                            Production Technician - WC30
Sylvester                                          Valdez                                             Production Technician - WC20
Tawana                                             Nusbaum                                            Production Technician - WC40
Taylor                                             Maxwell                                            Production Supervisor - WC50
Tengiz                                             Kharatishvili                                      Control Specialist
Terrence                                           Earls                                              Production Technician - WC20
Terri                                              Duffy                                              Vice President of Engineering
Terry                                              Eminhizer                                          Marketing Specialist
Tete                                               Mensa-Annan                                        Sales Representative
Thierry                                            D'Hers                                             Tool Designer
Thomas                                             Michaels                                           Production Technician - WC60
Tom                                                Vande Velde                                        Production Technician - WC10
Tsvi                                               Reiter                                             Sales Representative
Vamsi                                              Kuppa                                              Shipping and Receiving Clerk
Vidur                                              Luthra                                             Recruiter
William                                            Vong                                               Scheduling Assistant
Willis                                             Johnson                                            Recruiter
Yuhong                                             Li                                                 Production Supervisor - WC20
Yvonne                                             McKay                                              Production Technician - WC45
Zainal                                             Arifin                                             Document Control Manager
Zheng                                              Mu                                                 Production Supervisor - WC10

(246 rows affected)


Completion time: 2025-01-22T14:36:51.3376105-06:00
