BusinessEntityID FirstName                                          MiddleName                                         LastName
---------------- -------------------------------------------------- -------------------------------------------------- --------------------------------------------------
10944            Mackenzie                                          NULL                                               Allen
10233            Mackenzie                                          C                                                  Green
9224             Mackenzie                                          E                                                  Morgan
9907             Mackenzie                                          NULL                                               Nelson
8161             Mackenzie                                          M                                                  Peterson
8437             Mackenzie                                          G                                                  Richardson
8400             Mackenzie                                          NULL                                               Watson
10928            Madeline                                           NULL                                               Allen
10217            Madeline                                           NULL                                               Green
9891             Madeline                                           K                                                  Nelson
12327            Madison                                            G                                                  Anderson
12318            Madison                                            NULL                                               Brown
13078            Madison                                            F                                                  Coleman
12510            Madison                                            A                                                  Griffin
13075            Madison                                            M                                                  Henderson
12331            Madison                                            C                                                  Jackson
12314            Madison                                            L                                                  Johnson
12337            Madison                                            C                                                  Martin
13085            Madison                                            NULL                                               Patterson
12344            Madison                                            W                                                  Robinson
12338            Madison                                            L                                                  Thompson
12495            Madison                                            NULL                                               Washington
12322            Madison                                            H                                                  Wilson
357              Mae                                                N.                                                 Anderson
9254             Makayla                                            C                                                  Morgan
8202             Makayla                                            NULL                                               Peterson
7873             Makayla                                            D                                                  Watson
5979             Mallory                                            A                                                  Carlson
7141             Mallory                                            J                                                  Martin
5729             Mandy                                              A                                                  Chen
5747             Mandy                                              C                                                  Lin
5761             Mandy                                              L                                                  Sun
15925            Manuel                                             NULL                                               Arun
15926            Manuel                                             NULL                                               Madan
15716            Marc                                               W                                                  Carlson
15676            Marc                                               J                                                  Martin
2172             Marc                                               NULL                                               Zimmerman
1839             Marcia                                             J.                                                 Sultan
3861             Marco                                              C                                                  Arun
3863             Marco                                              NULL                                               Madan
4642             Marcus                                             D                                                  Allen
4616             Marcus                                             NULL                                               Anderson
4608             Marcus                                             J                                                  Brown
13823            Marcus                                             J                                                  Coleman
4656             Marcus                                             C                                                  Green
13853            Marcus                                             NULL                                               Griffin
13820            Marcus                                             D                                                  Henderson
4621             Marcus                                             NULL                                               Jackson
4602             Marcus                                             NULL                                               Johnson
4626             Marcus                                             R                                                  Martin
14978            Marcus                                             W                                                  Morgan
4664             Marcus                                             N                                                  Nelson
13831            Marcus                                             D                                                  Patterson
